variable,t_stat,t_p,wilcox_stat,wilcox_p
age,-0.7824486547641516,0.436070219690015,18544.5,0.23677655173557727
alb,3.8375449692220154,2.3375994116548815e-4,25320.5,4.373946496072728e-4
alp,0.8794193135130822,0.3819127000061996,26511.5,1.4096225560923814e-5
alt,-1.2636856812082073,0.21009164931389374,24433,0.003722489710063802
ast,-8.228403916889192,4.463649632684349e-12,2342.5,2.0499913870277776e-35
bil,-4.198107065905346,7.379330190719558e-5,6651,4.0371525281042075e-21
che,3.9746201564098644,1.520037031587673e-4,25819,1.1245842292176511e-4
chol,6.367874396159267,7.45641375804972e-9,29767,4.105064670057913e-11
crea,-1.3258492728816922,0.18895301979796364,24590.5,0.0026076045348792506
ggt,-5.564349499370068,3.815374807693859e-7,5727,7.343096839580598e-24
prot,-1.651560540735744,0.10230126145950022,17316,0.041892157007384585
