term,estimate,std.error,statistic,p.value,OR,OR_low,OR_high
(Intercept),-12.886982025631207,4.441954888462188,-2.9011960610191383,0.0037174120864948194,2.530782471847395e-6,4.1897343162889433e-10,0.01528703119648671
age,-9.408998696028864e-4,0.025971842278332543,-0.036227690724421516,0.9711008064721166,0.9990595426378834,0.9494753493959224,1.051233157733735
sexm,-1.0136593212960086,0.6370151229601501,-1.5912641392022655,0.11155014368105291,0.3628886208926176,0.10412023287066578,1.26477004077511
alb,-0.15116265756590622,0.07087557754313702,-2.1327890763768953,0.03294203275271017,0.8597078492995781,0.7482046145509258,0.9878281579309882
alp,-0.08037756666321924,0.019482170652756595,-4.125698727099814,3.69610861586136e-5,0.9227678742178442,0.8881961940547342,0.9586852042241991
alt,-0.017001495276967767,0.012329319154556503,-1.3789484288501515,0.16791065496392993,0.983142214563901,0.9596688894666137,1.007189692889631
ast,0.08384567472922344,0.020887427200092054,4.014169573208802,5.965544881263273e-5,1.0874610581362607,1.0438401006330553,1.1329048886372963
bil,0.0736735143321909,0.029935276496951962,2.4610934974892382,0.01385142639136318,1.0764553008909563,1.0151134426420318,1.1415039601882813
che,0.13654941924807903,0.12958420299507092,1.0537505042437392,0.29199715970788404,1.1463115262296844,0.889197757680365,1.4777703877649402
chol,-0.7669136917125527,0.2909362742685247,-2.636019498224262,0.008388491119489057,0.4644442768204377,0.26259331109455153,0.8214546112090021
crea,0.028676546901282334,0.007484704048439926,3.831353479802522,1.274402588919916e-4,1.0290916777445283,1.0141050779466003,1.0442997518042338
ggt,0.02683587674338347,0.007083881755493505,3.788301057195431,1.5168098087892394e-4,1.0271992016500173,1.0130357020272627,1.0415607246209742
prot,0.2485410733222984,0.06662845913051042,3.7302539570285034,1.912868640800473e-4,1.2821534835910846,1.1251870555406664,1.4610171236771212
