term,estimate,std.error,statistic,p.value,OR,OR_low,OR_high
(Intercept),-13.720442574468928,4.040062807860039,-3.3960963546842584,6.835429253930186e-4,1.0997336163199978e-6,4.002364262225625e-10,0.0030217490153975415
alb,-0.15591594845679493,0.06328333937540866,-2.4637756160728537,0.013748214871914374,0.8556311044634753,0.7558205538328061,0.9686222254910182
alp,-0.07664758417789555,0.018605285884899674,-4.1196671017081155,3.7942017797947574e-5,0.9262162093435172,0.8930488962974635,0.9606153369735828
alt,-0.021162986595320166,0.011942812297381396,-1.772027062667677,0.07639006499969062,0.9790593780099397,0.9564077896225913,1.0022474472394949
ast,0.08699480585111206,0.02084072077562541,4.174270496098109,2.9894240413949225e-5,1.0908910134532177,1.0472283350154872,1.1363741444365991
bil,0.06275235214470949,0.029861548891997915,2.1014433099793233,0.03560206946007145,1.0647631202748078,1.0042326487777875,1.128942086952811
chol,-0.7148344077429334,0.2675315390636153,-2.6719631272070528,0.007540893409211365,0.48927312492965175,0.28961691144335217,0.8265684126848717
crea,0.028356063922394974,0.007617894007492121,3.722296988446817,1.97418622503575e-4,1.0287619242211146,1.0135155114907224,1.0442376902258377
ggt,0.024698402246452467,0.006758310885166385,3.6545229519793554,2.576606139749345e-4,1.025005934414662,1.0115179394007303,1.0386737838853557
prot,0.266301009445033,0.06394169936755977,4.164747138080261,3.1169782780908106e-5,1.3051278553776495,1.1513961836047202,1.4793854132379458
